LegislatorFirstName,LegislatorLastName,Chamber,CapitolPhone,Email,DistrictPhone
Celia,Israel,State House,(512) 463-0821,Celia.Israel@house.state.tx.us,
Eric,Johnson,State House,(512) 463-0586,Eric.Johnson@house.state.tx.us,
Kyle,Kacal,State House,(512) 463-0412,Kyle.Kacal@house.state.tx.us,
Jim,Keffer,State House,(512) 463-0656,Jim.Keffer@house.state.tx.us,
Mark,Keough,State House,(512) 463-0797,Mark.Keough@house.state.tx.us,
Ken,King,State House,(512) 463-0736,Ken.King@house.state.tx.us,
Phil,King,State House,(512) 463-0738,Phil.King@house.state.tx.us,
Susan,King,State House,(512) 463-0718,Susan.King@house.state.tx.us,
Tracy,King,State House,(512) 463-0194,Tracy.King@house.state.tx.us,
Stephanie,Klick,State House,(512) 463-0599,Stephanie.Klick@house.state.tx.us,
Linda,Koop,State House,(512) 463-0454,Linda.Koop@house.state.tx.us,
Matt,Krause,State House,(512) 463-0562,Matt.Krause@house.state.tx.us,
John,Kuempel,State House,(512) 463-0602,John.Kuempel@house.state.tx.us,
Brooks,Landgraf,State House,(512) 463-0546,Brooks.Landgraf@house.state.tx.us,
Lyle,Larson,State House,(512) 463-0646,Lyle.Larson@house.state.tx.us,
Jodie,Laubenberg,State House,(512) 463-0186,Jodie.Laubenberg@house.state.tx.us,
Jeff,Leach,State House,(512) 463-0544,Jeff.Leach@house.state.tx.us,
Oscar,Longoria,State House,(512) 463-0645,Oscar.Longoria@house.state.tx.us,
J.M.,Lozano,State House,(512) 463-0463,JM.Lozano@house.state.tx.us,
Eddie,Lucio III,State House,(512) 463-0606,Eddie.Lucio@house.state.tx.us,
Marisa,Márquez,State House,(512) 463-0638,Marisa.Marquez@house.state.tx.us,
Armando,Martinez,State House,(512) 463-0530,Armando.Martinez@house.state.tx.us,
Trey,Martinez Fischer,State House,(512) 463-0616,Trey.Martinez.Fischer@house.state.tx.us,
Ruth,McClendon,State House,(512) 463-0708,Ruth.Jones.McClendon@house.state.tx.us,
Will,Metcalf,State House,(512) 463-0726,Will.Metcalf@house.state.tx.us,
Morgan,Meyer,State House,(512) 463-0367,Morgan.Meyer@house.state.tx.us,
Borris,Miles,State House,(512) 463-0518,Borris.Miles@house.state.tx.us,
Doug,Miller,State House,(512) 463-0325,Doug.Miller@house.state.tx.us,
Rick,Miller,State House,(512) 463-0710,Rick.Miller@house.state.tx.us,
Ina,Minjarez,State House,,Ina.Minjarez@house.state.tx.us,
Joe,Moody,State House,(512) 463-0728,Joe.Moody@house.state.tx.us,
Geanie,Morrison,State House,(512) 463-0456,Geanie.Morrison@house.state.tx.us,
Sergio,Muñoz,State House,(512) 463-0704,Sergio.Munoz@house.state.tx.us,
Jim,Murphy,State House,(512) 463-0514,Jim.Murphy@house.state.tx.us,
Andrew,Murr,State House,(512) 463-0536,Andrew.Murr@house.state.tx.us,
Elliott,Naishtat,State House,(512) 463-0668,Elliott.Naishtat@house.state.tx.us,
Poncho,Nevárez,State House,(512) 463-0566,Poncho.Nevarez@house.state.tx.us,
René,Oliveira,State House,(512) 463-0640,Rene.Oliveira@house.state.tx.us,
John,Otto,State House,(512) 463-0570,John.Otto@house.state.tx.us,
Chris,Paddie,State House,(512) 463-0556,Chris.Paddie@house.state.tx.us,
Tan,Parker,State House,(512) 463-0688,Tan.Parker@house.state.tx.us,
Dennis,Paul,State House,(512) 463-0734,Dennis.Paul@house.state.tx.us,
Gilbert,Peña,State House,(512) 463-0460,Gilbert.Pena@house.state.tx.us,
Dade,Phelan,State House,(512) 463-0706,Dade.Phelan@house.state.tx.us,
Larry,Phillips,State House,(512) 463-0297,Larry.Phillips@house.state.tx.us,
Joseph,Pickett,State House,(512) 463-0596,Joseph.Pickett@house.state.tx.us,
Four,Price,State House,(512) 463-0470,Four.Price@house.state.tx.us,
John,Raney,State House,(512) 463-0698,John.Raney@house.state.tx.us,
Richard,Raymond,State House,(512) 463-0558,richard.raymond@house.state.tx.us,
Ron,Reynolds,State House,(512) 463-0494,Ron.Reynolds@house.state.tx.us,
Debbie,Riddle,State House,(512) 463-0572,Debbie.Riddle@house.state.tx.us,
Matt,Rinaldi,State House,(512) 463-0468,Matt.Rinaldi@house.state.tx.us,
Eddie,Rodriguez,State House,(512) 463-0674,Eddie.Rodriguez@house.state.tx.us,
Justin,Rodriguez,State House,(512) 463-0669,Justin.Rodriguez@house.state.tx.us,
Ramon,Romero,State House,(512) 463-0740,Ramon.Romero@house.state.tx.us,
Toni,Rose,State House,(512) 463-0664,Toni.Rose@house.state.tx.us,
Scott,Sanford,State House,(512) 463-0356,Scott.Sanford@house.state.tx.us,
Matt,Schaefer,State House,(512) 463-0584,Matt.Schaefer@house.state.tx.us,
Mike,Schofield,State House,(512) 463-0528,Mike.Schofield@house.state.tx.us,
Leighton,Schubert,State House,(512) 463-0600,Leighton.Schubert@house.state.tx.us,
Matt,Shaheen,State House,(512) 463-0594,Matt.Shaheen@house.state.tx.us,
Kenneth,Sheets,State House,(512) 463-0244,Kenneth.Sheets@house.state.tx.us,
J.D.,Sheffield,State House,(512) 463-0628,j.d.sheffield@house.state.tx.us,
Ron,Simmons,State House,(512) 463-0478,Ron.Simmons@house.state.tx.us,
David,Simpson,State House,(512) 463-0750,David.Simpson@house.state.tx.us,
Wayne,Smith,State House,(512) 463-0733,Wayne.Smith@house.state.tx.us,
John,Smithee,State House,(512) 463-0702,John.Smithee@house.state.tx.us,
Stuart,Spitzer,State House,(512) 463-0458,Stuart.Spitzer@house.state.tx.us,
Drew,Springer,State House,(512) 463-0526,Drew.Springer@house.state.tx.us,
Phil,Stephenson,State House,(512) 463-0604,Phil.Stephenson@house.state.tx.us,
Jonathan,Stickland,State House,(512) 463-0522,Jonathan.Stickland@house.state.tx.us,
Joe,Straus,State House,(512) 463-1000,Joe.Straus@house.state.tx.us,
Ed,Thompson,State House,(512) 463-0707,Ed.Thompson@house.state.tx.us,
Senfronia,Thompson,State House,(512) 463-0720,Senfronia.Thompson@house.state.tx.us,
Tony,Tinderholt,State House,(512) 463-0624,Tony.Tinderholt@house.state.tx.us,
Chris,Turner,State House,(512) 463-0574,Chris.Turner@house.state.tx.us,
Scott,Turner,State House,(512) 463-0484,Scott.Turner@house.state.tx.us,
Sylvester,Turner,State House,(512) 463-0554,Sylvester.Turner@house.state.tx.us,
Gary,VanDeaver,State House,(512) 463-0692,Gary.VanDeaver@house.state.tx.us,
Jason,Villalba,State House,(512) 463-0576,Jason.Villalba@house.state.tx.us,
Hubert,Vo,State House,(512) 463-0568,Hubert.Vo@house.state.tx.us,
Armando,Walle,State House,(512) 463-0924,Armando.Walle@house.state.tx.us,
James,White,State House,(512) 463-0490,James.White@house.state.tx.us,
Molly,White,State House,(512) 463-0630,Molly.White@house.state.tx.us,
Paul,Workman,State House,(512) 463-0652,Paul.Workman@house.state.tx.us,
John,Wray,State House,(512) 463-0516,John.Wray@house.state.tx.us,
Gene,Wu,State House,(512) 463-0492,Gene.Wu@house.state.tx.us,
Bill,Zedler,State House,(512) 463-0374,Bill.Zedler@house.state.tx.us,
John,Zerwas,State House,(512) 463-0657,John.Zerwas@house.state.tx.us,
Paul,Bettencourt,State Senate,(512) 463-0107,Paul.Bettencourt@senate.state.tx.us,
Brian,Birdwell,State Senate,(512) 463-0122,Brian.Birdwell@senate.state.tx.us,
Konni,Burton,State Senate,(512) 463-0110,Konni.Burton@senate.state.tx.us,
Donna,Campbell,State Senate,(512) 463-0125,Donna.Campbell@senate.state.tx.us,
Brandon,Creighton,State Senate,(512) 463-0104,Brandon.Creighton@senate.state.tx.us,
Rodney,Ellis,State Senate,(512) 463-0113,Rodney.Ellis@senate.state.tx.us,
Kevin,Eltife,State Senate,(512) 463-0101,Kevin.Eltife@senate.state.tx.us,
Craig,Estes,State Senate,(512) 463-0130,Craig.Estes@senate.state.tx.us,
Troy,Fraser,State Senate,(512) 463-0124,Troy.Fraser@senate.state.tx.us,
Sylvia,Garcia,State Senate,(512) 463-0106,Sylvia.Garcia@senate.state.tx.us,
Bob,Hall,State Senate,(512) 463-0102,Bob.Hall@senate.state.tx.us,
Kelly,Hancock,State Senate,(512) 463-0109,Kelly.Hancock@senate.state.tx.us,
Juan,Hinojosa,State Senate,(512) 463-0120,Juan.Hinojosa@senate.state.tx.us,
Don,Huffines,State Senate,(512) 463-0118,Don.Huffines@senate.state.tx.us,
Joan,Huffman,State Senate,(512) 463-0117,Joan.Huffman@senate.state.tx.us,
Lois,Kolkhorst,State Senate,(512)463-0118,Lois.Kolkhorst@senate.state.tx.us,
Eddie,Lucio,State Senate,(512) 463-0127,Eddie.Lucio@senate.state.tx.us,
José,Menéndez,State Senate,(512) 463-0634,Jose.Menendez@senate.state.tx.us,
Jane,Nelson,State Senate,(512) 463-0112,Jane.Nelson@senate.state.tx.us,
Robert,Nichols,State Senate,(512) 463-0103,Robert.Nichols@senate.state.tx.us,
Charles,Perry,State Senate,(512) 463-0128,Charles.Perry@senate.state.tx.us,
Jose,Rodriguez,State Senate,(512) 463-0129,Jose.Rodriguez@senate.state.tx.us,
Charles,Schwertner,State Senate,(512) 463-0105,Charles.Schwertner@senate.state.tx.us,
Kel,Seliger,State Senate,(512) 463-0131,Kel.Seliger@senate.state.tx.us,
Larry,Taylor,State Senate,(512) 463-0111,Larry.Taylor@senate.state.tx.us,
Van,Taylor,State Senate,(512) 463-0108,Van.Taylor@senate.state.tx.us,
Carlos,Uresti,State Senate,(512) 463-0119,Carlos.Uresti@senate.state.tx.us,
Kirk,Watson,State Senate,(512) 463-0114,Kirk.Watson@senate.state.tx.us,
Royce,West,State Senate,(512) 463-0123,Royce.West@senate.state.tx.us,
John,Whitmire,State Senate,(512) 463-0115,John.Whitmire@senate.state.tx.us,
Judith,Zaffirini,State Senate,(512) 463-0121,Judith.Zaffirini@senate.state.tx.us,
John,Cornyn,Federal Senate,(202) 224-2934,,
Ted,Cruz,Federal Senate,(202) 224-5922,,
Brian,Babin,Federal House,,,
Joe,Barton,Federal House,,,
Kevin,Brady,Federal House,,,
Michael,Burgess,Federal House,,,
John,Carter,Federal House,,,
Joaquin,Castro,Federal House,,,
Mike,Conaway,Federal House,,,
Henry,Cuellar,Federal House,,,
John,Culberson,Federal House,,,
Lloyd,Doggett,Federal House,,,
Blake,Farenthold,Federal House,,,
Bill,Flores,Federal House,,,
Louie,Gohmert,Federal House,,,
Kay,Granger,Federal House,,,
Al,Green,Federal House,,,
Gene,Green,Federal House,,,
Jeb,Hensarling,Federal House,,,
Rubén,Hinojosa,Federal House,,,
Will,Hurd,Federal House,,,
Sheila,Jackson-Lee,Federal House,,,
Eddie Bernice,Johnson,Federal House,,,
Sam,Johnson,Federal House,,,
Kenny,Marchant,Federal House,,,
Michael,McCaul,Federal House,,,
Randy,Neugebauer,Federal House,,,
Robert,O'Rourke,Federal House,,,
Pete,Olson,Federal House,,,
Ted,Poe,Federal House,,,
John,Ratcliffe,Federal House,,,
Pete,Sessions,Federal House,,,
Lamar,Smith,Federal House,,,
Mac,Thornberry,Federal House,,,
Marc,Veasey,Federal House,,,
Filemon,Vela,Federal House,,,
Randy,Weber,Federal House,,,
Roger,Williams,Federal House,,,
